sno,link
0,https://www.amazon.in/ref=nav_logo
1,https://www.amazon.in/prime?ref=nav_logo_prime_join
2,https://www.amazon.in/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.in%2Fmn%2Fsearch%2Fref%3Dnb_sb_noss%3Furl%3Dsearch-alias%253Daps%26field-keywords%3Dmobiles%26ref_%3Dnav_ya_signin%26_encoding%3DUTF8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=inflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&openid.pape.max_auth_age=0
3,https://www.amazon.in/prime?ref_=nav_prime_try_btn
4,https://www.amazon.in/gp/registry/wishlist?ref_=nav_wishlist_btn
5,https://www.amazon.in/gp/cart/view.html?ref_=nav_cart
6,https://www.amazon.in/gp/site-directory?ref_=nav_shopall_btn
7,https://www.amazon.in/gp/yourstore/home?ref_=nav_cs_ys
8,https://www.amazon.in/gp/goldbox?ref_=nav_topnav_deals
9,https://www.amazon.in/gp/sva/dashboard?ref_=nav_apay
10,https://www.amazon.in/selling?ref_=nav_cs_sell
11,https://www.amazon.in/gp/help/customer/display.html?nodeId=200507590&ref_=nav_topnav_help
12,https://www.amazon.injavascript:;
13,https://www.amazon.in/s/ref=sr_hi_1/260-1710633-8543050?rh=n%3A976419031%2Ck%3Amobiles&keywords=mobiles&ie=UTF8&qid=1550993025
14,https://www.amazon.in/s/ref=sr_hi_2/260-1710633-8543050?rh=n%3A976419031%2Cn%3A1389401031%2Ck%3Amobiles&keywords=mobiles&ie=UTF8&qid=1550993025
15,https://www.amazon.in/s/ref=sr_hi_3/260-1710633-8543050?rh=n%3A976419031%2Cn%3A1389401031%2Cn%3A1389432031%2Ck%3Amobiles&keywords=mobiles&ie=UTF8&qid=1550993025
16,https://www.amazon.injavascript:void(0)
17,https://www.amazon.injavascript:void(0)
